date,nombre,variacion
2025-10-30,José Luis Gayà,-0.06
2025-10-30,Antonio Sivera,-0.06
2025-10-30,Matteo Ruggeri,-0.059
2025-10-30,Mikel Jauregizar,-0.059
2025-10-30,Jeremy Toljan,-0.058
2025-10-30,Pablo Campos,-0.057
2025-10-30,Unai López,-0.057
2025-10-30,Gabriel Suazo,-0.057
2025-10-30,Antonio Blanco,-0.055
2025-10-30,Lucas Ahijado,-0.054
2025-10-30,Oriol Rey,-0.054
2025-10-30,Rafa Marín,-0.054
2025-10-30,Dani Calvo,-0.053
2025-10-30,Miguel Rubio,-0.052
2025-10-30,Dani Raba,-0.052
2025-10-30,Bryan Zaragoza,-0.051
2025-10-30,Abdel Alhassane,-0.049
2025-10-30,Jules Koundé,-0.049
2025-10-30,Grady Diangana,-0.048
2025-10-30,Brandon Domingues,-0.048
2025-10-30,Abdel Abqar,-0.048
2025-10-30,Yáser Asprilla,-0.048
2025-10-30,Raphinha,-0.047
2025-10-30,Dimitri Foulquier,-0.046
2025-10-30,Pablo García,-0.046
2025-10-30,Igor Zubeldia,-0.046
2025-10-30,Willy Kambwala,-0.045
2025-10-30,Álvaro Valles,-0.045
2025-10-30,Arnau Tenas,-0.045
2025-10-30,Hugo Sotelo,-0.045
2025-10-30,Pablo Torre,-0.044
2025-10-30,Vladyslav Vanat,-0.044
2025-10-30,Andriy Lunin,-0.043
2025-10-30,Eray Cömert,-0.043
2025-10-30,Giacomo Raspadori,-0.043
2025-10-30,Franco Cervi,-0.042
2025-10-30,Valentín Gómez,-0.042
2025-10-30,Williot Swedberg,-0.041
2025-10-30,Aimar Oroz,-0.041
2025-10-30,Iñigo Ruiz De Galarreta,-0.041
2025-10-30,Pablo Ibáñez,-0.04
2025-10-30,Carlos Vicente,-0.04
2025-10-30,Isaac Romero,-0.039
2025-10-30,Antoine Griezmann,-0.039
2025-10-30,Lancinet Kourouma,-0.038
2025-10-30,Santi Cazorla,-0.038
2025-10-30,Thomas Partey,-0.038
2025-10-30,Eric Bailly,-0.038
2025-10-30,Pablo Martínez,-0.038
2025-10-30,Álex Moreno,-0.038
2025-10-30,Manu Sánchez,-0.038
2025-10-30,Luiz Júnior,-0.038
2025-10-30,Pepelu,-0.037
2025-10-30,Carlos Espí,-0.036
2025-10-30,Luiz Felipe,-0.036
2025-10-30,Calebe Gonçalves,-0.035
2025-10-30,Diego Llorente,-0.035
2025-10-30,Carlos Soler,-0.035
2025-10-30,Tani Oluwaseyi,-0.034
2025-10-30,César Tárrega,-0.034
2025-10-30,Diego Pampín,-0.033
2025-10-30,Lander Pinillos,-0.032
2025-10-30,Hugo Rincón,-0.032
2025-10-30,Álex Berenguer,-0.032
2025-10-30,Robert Lewandowski,-0.032
2025-10-30,Jofre Torrents,-0.031
2025-10-30,Oier Luengo,-0.031
2025-10-30,Rafa Mir,-0.031
2025-10-30,Isco,-0.031
2025-10-30,Hector Fort,-0.03
2025-10-30,Beñat Prados,-0.03
2025-10-30,Martim Neto,-0.029
2025-10-30,Mateu Morey,-0.029
2025-10-30,Iker Benito,-0.029
2025-10-30,Antonio Sánchez,-0.028
2025-10-30,Íñigo Lekue,-0.028
2025-10-30,Ezequiel Ávila,-0.028
2025-10-30,Andrés Castrín,-0.028
2025-10-30,Lucas Beltrán,-0.028
2025-10-30,Gonzalo García,-0.028
2025-10-30,Javier Rodríguez,-0.028
2025-10-30,Junior Firpo,-0.027
2025-10-30,Joan Garcia,-0.027
2025-10-30,Javi Llabrés,-0.026
2025-10-30,Álex Forés,-0.026
2025-10-30,Urko González,-0.026
2025-10-30,Unai Elgezabal,-0.026
2025-10-30,Antonio Rüdiger,-0.025
2025-10-30,Pacha Espino,-0.024
2025-10-30,Yvan Neyou,-0.023
2025-10-30,Samu Becerra,-0.022
2025-10-30,Vladyslav Krapyvtsov,-0.022
2025-10-30,Yoel Lago,-0.022
2025-10-30,Dani Cárdenas,-0.022
2025-10-30,Roger Brugué,-0.022
2025-10-30,José Luis Morales,-0.022
2025-10-30,Iago Aspas,-0.022
2025-10-30,Marko Dmitrović,-0.022
2025-10-30,Pape Gueye,-0.022
2025-10-30,Ángel Ortiz,-0.021
2025-10-30,Sergio Camello,-0.02
2025-10-30,Jhon Solís,-0.02
2025-10-30,Dani Rodríguez,-0.02
2025-10-30,Marc Aguado,-0.02
2025-10-30,Aitor Ruibal,-0.02
2025-10-30,Josip Brekalo,-0.019
2025-10-30,John Donald,-0.019
2025-10-30,Coba da Costa,-0.019
2025-10-30,Randy Nteka,-0.018
2025-10-30,Joseph Aidoo,-0.018
2025-10-30,Jesús Vázquez,-0.018
2025-10-30,Andoni Gorosabel,-0.017
2025-10-30,David Affengruber,-0.017
2025-10-30,Jones El-Abdellaoui,-0.016
2025-10-30,Isi Palazón,-0.016
2025-10-30,David López,-0.015
2025-10-30,Unai Egiluz,-0.015
2025-10-30,Alan Matturro,-0.015
2025-10-30,Abde Rebbach,-0.015
2025-10-30,Álvaro Rodríguez,-0.014
2025-10-30,Arsen Zakharyan,-0.013
2025-10-30,José Copete,-0.013
2025-10-30,Marcão,-0.013
2025-10-30,Kwasi Sibo,-0.012
2025-10-30,Adama Boiro,-0.012
2025-10-30,Dro Fernández,-0.012
2025-10-30,Pau López,-0.012
2025-10-30,Sergi Cardona,-0.012
2025-10-30,Pedri,-0.011
2025-10-30,Tanguy Nianzou,-0.01
2025-10-30,Mario Martín,-0.01
2025-10-30,Franco Mastantuono,-0.01
2025-10-30,Ter Stegen,-0.009
2025-10-30,Juan Cruz,-0.009
2025-10-30,Alejandro Iturbe,-0.009
2025-10-30,Alberto Reina,-0.009
2025-10-30,Brahim Díaz,-0.009
2025-10-30,Léo Pétrot,-0.007
2025-10-30,Sheraldo Becker,-0.007
2025-10-30,Marc Pubill,-0.006
2025-10-30,Aihen Muñoz,-0.006
2025-10-30,Aitor Fernández,-0.006
2025-10-30,Alberto Dadie,-0.006
2025-10-30,Adrián San Miguel,-0.006
2025-10-30,Damián Rodríguez,-0.005
2025-10-30,Adrià Pedrosa,-0.004
2025-10-30,Peque Fernández,-0.003
2025-10-30,Carl Starfelt,-0.003
2025-10-30,Alfon González,-0.003
2025-10-30,Asier Osambela,-0.002
2025-10-30,Iván Balliu,-0.002
2025-10-30,Cristian Rivero,-0.002
2025-10-30,Jiri Letacek,-0.001
2025-10-30,Ilias Akhomach,-0.001
2025-10-30,Nico Serrano,-0.001
2025-10-30,Ferland Mendy,-0.001
2025-10-30,Marash Kumbulla,-0.001
2025-10-30,Yangel Herrera,-0.001
2025-10-31,Gerard Moreno,0.208
2025-10-31,Robin Le Normand,0.184
2025-10-31,Abde Ezzalzouli,0.181
2025-10-31,Pere Milla,0.171
2025-10-31,Pol Lozano,0.156
2025-10-31,Etta Eyong,0.145
2025-10-31,Moi Gómez,0.141
2025-10-31,Tajon Buchanan,0.14
2025-10-31,Alberto Moleiro,0.137
2025-10-31,Marc Casadó,0.136
2025-10-31,André Silva,0.134
2025-10-31,Jesús Areso,0.132
