id,nombre,posicion,foto_url,club
114,D. Costas,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/114.png?version=20250622160631,Real Oviedo
8171,D. Djené,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/8171.png?version=20251003195924,Getafe CF
18555,D. Duarte,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/18555.png?version=20251003200050,Getafe CF
217,D. Foulquier,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/217.png?version=20251006015048,Valencia CF
64459,D. Hancko,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64459.png?version=20250724080120,Atlético de Madrid
63788,D. Huijsen,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63788.png?version=20251003183640,Real Madrid
68362,D. Jiménez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68362.png?version=20251223094004,Real Madrid
306,D. Llorente,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/306.png?version=20240709193836,Real Betis Balompié
61043,D. López,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/61043.png?version=20250130124008,RCD Mallorca
3720,D. López,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/3720.png?version=20251006030541,Girona FC
70181,D. Martínez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70181.png?version=20260410132741,Atlético de Madrid
63782,D. Pampín,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63782.png?version=20250613112512,Levante UD
3117,D. Rico,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/3117.png?version=20251003200031,Getafe CF
27852,D. Vivian,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/27852.png?version=20250204170236,Athletic Club
64546,D. Ćaleta-Car,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64546.png?version=20250802084840,Real Sociedad
64151,Davinchi,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64151.png?version=20250703132321,Getafe CF
455,E. Bailly,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/455.png?version=20251006025527,Real Oviedo
36263,E. Cömert,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/36263.png?version=20260223192411,Valencia CF
27333,E. García,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/27333.png?version=20260217184328,FC Barcelona
58438,F. Boyomo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/58438.png?version=20240616125139,CA Osasuna
13011,F. Calero,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/13011.png?version=20240626191613,RCD Espanyol
65724,F. Cardoso,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65724.png?version=20250902075400,Sevilla FC
60859,F. Garcés,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/60859.png?version=20250107092359,Deportivo Alavés
27520,F. García,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/27520.png?version=20251003183837,Real Madrid
54833,F. Gattoni,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/54833.png?version=20260102112242,Sevilla FC
1713,F. Lejeune,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/1713.png?version=20251004225338,Rayo Vallecano
17623,F. Mendy,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/17623.png?version=20251003183856,Real Madrid
59533,G. Martín,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59533.png?version=20251003184533,FC Barcelona
64382,G. Suazo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64382.png?version=20250712172807,Sevilla FC
31496,H. Bellerín,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/31496.png?version=20251003194443,Real Betis Balompié
56971,H. Fort,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/56971.png?version=20251006023111,Elche CF
64031,H. Rincón,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64031.png?version=20250623150347,Girona FC
28619,I. Balliu,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/28619.png?version=20251004225519,Rayo Vallecano
60926,I. Bekhoucha,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/60926.png?version=20250119182256,Getafe CF
70499,I. Rupérez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70499.png?version=20260525073940,Real Sociedad
5917,I. Zubeldia,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/5917.png?version=20251004233803,Real Sociedad
18465,J. Aidoo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/18465.png?version=20251003195155,RC Celta de Vigo
56925,J. Aramburu,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/56925.png?version=20251004233907,Real Sociedad
27865,J. Areso,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/27865.png?version=20231222184016,Athletic Club
70180,J. Boñar,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70180.png?version=20260410132052,Atlético de Madrid
63784,J. Cabello,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63784.png?version=20250613112544,Levante UD
431,J. Cancelo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/431.png?version=20260113140939,FC Barcelona
48486,J. Copete,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48486.png?version=20251006015726,Valencia CF
22877,J. Cruz,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/22877.png?version=20231222184236,CA Osasuna
24860,J. Donald,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/24860.png?version=20250617223548,Elche CF
69744,J. Díaz,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/69744.png?version=20260227153903,Atlético de Madrid
11761,J. Firpo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/11761.png?version=20250717131011,Real Betis Balompié
23369,J. Foyth,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/23369.png?version=20231222225448,Villarreal CF
15693,J. Galán,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/15693.png?version=20251003193832,CA Osasuna
34,J. Giménez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/34.png?version=20251003193851,Atlético de Madrid
52377,J. Herrando,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/52377.png?version=20240305112855,CA Osasuna
24792,J. Iglesias,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/24792.png?version=20251003200157,Getafe CF
18186,J. Koundé,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/18186.png?version=20260217184253,FC Barcelona
432,J. Luis Gayà,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/432.png?version=20251006020035,Valencia CF
22455,J. López,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/22455.png?version=20251006025852,Real Oviedo
59623,J. Martin,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59623.png?version=20240826105318,Real Sociedad
308,J. Mojica,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/308.png?version=20251006030925,RCD Mallorca
68462,J. Montes,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68462.png?version=20260111105005,Getafe CF
70397,J. Olaizola,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70397.png?version=20260518194537,RCD Mallorca
118,J. Otto,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/118.png?version=20250702181230,Deportivo Alavés
22471,J. Pacheco,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/22471.png?version=20250204161316,Deportivo Alavés
59506,J. Rodríguez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59506.png?version=20251003195248,RC Celta de Vigo
64160,J. Rueda,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64160.png?version=20250704150336,RC Celta de Vigo
64038,J. Salinas,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64038.png?version=20250625134658,RCD Espanyol
28778,J. Sánchez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/28778.png?version=20251006013732,Sevilla FC
64200,J. Toljan,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64200.png?version=20250709145410,Levante UD
65168,J. Torrents,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65168.png?version=20250817104814,FC Barcelona
65104,J. Vertrouwd,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65104.png?version=20250812101021,Rayo Vallecano
28791,J. Vázquez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/28791.png?version=20251006015643,Valencia CF
28784,J. Ángel Carmona,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/28784.png?version=20251228214145,Sevilla FC
48960,K. Femenía,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48960.png?version=20251003200010,Getafe CF
49424,K. Salas,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/49424.png?version=20251006013823,Sevilla FC
63930,L. Ahijado,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63930.png?version=20250622095024,Real Oviedo
61297,L. Beitia,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/61297.png?version=20250225085005,Real Sociedad
11472,L. Cabrera,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/11472.png?version=20240626191555,RCD Espanyol
59593,L. Costa,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59593.png?version=20240822222712,Villarreal CF
